,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Popularity,added_at
19,Lewis Capaldi,Before You Go,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,audio_features,2gMXnyrvIjhVBUZwvLZDMP,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,https://api.spotify.com/v1/tracks/2gMXnyrvIjhVBUZwvLZDMP,https://api.spotify.com/v1/audio-analysis/2gMXnyrvIjhVBUZwvLZDMP,215107,4,86.0,2020-10-02T12:27:15Z
20,Lewis Capaldi,Hold Me While You Wait,0.688,0.53,11,-5.507,1,0.0333,0.443,0,0.0995,0.162,106.958,audio_features,60iSKGrGazRzICtMjADNSM,spotify:track:60iSKGrGazRzICtMjADNSM,https://api.spotify.com/v1/tracks/60iSKGrGazRzICtMjADNSM,https://api.spotify.com/v1/audio-analysis/60iSKGrGazRzICtMjADNSM,205687,4,82.0,2020-10-02T12:26:45Z
21,YNW Melly,Mixed Personalities (feat. Kanye West),0.661,0.44,2,-9.104,1,0.0803,0.457,0,0.128,0.352,149.937,audio_features,6vWEAOUSxohKxhp0K1BsxL,spotify:track:6vWEAOUSxohKxhp0K1BsxL,https://api.spotify.com/v1/tracks/6vWEAOUSxohKxhp0K1BsxL,https://api.spotify.com/v1/audio-analysis/6vWEAOUSxohKxhp0K1BsxL,230400,4,74.0,2020-09-30T13:00:59Z
22,Shalom Margaret,Viva La Vida,0.604,0.231,0,-9.802,1,0.0308,0.837,0,0.0983,0.332,110.065,audio_features,40IvRPm1MXE4dOkEdCktcc,spotify:track:40IvRPm1MXE4dOkEdCktcc,https://api.spotify.com/v1/tracks/40IvRPm1MXE4dOkEdCktcc,https://api.spotify.com/v1/audio-analysis/40IvRPm1MXE4dOkEdCktcc,176356,4,55.0,2020-09-30T04:59:38Z
23,Marc Wavy,Daydreaming,0.897,0.387,10,-6.941,1,0.0511,0.511,1.34e-05,0.109,0.839,118.899,audio_features,3gXS1kwhHCpIm6KjpoXWSr,spotify:track:3gXS1kwhHCpIm6KjpoXWSr,https://api.spotify.com/v1/tracks/3gXS1kwhHCpIm6KjpoXWSr,https://api.spotify.com/v1/audio-analysis/3gXS1kwhHCpIm6KjpoXWSr,175495,4,56.0,2020-09-30T00:33:50Z
24,ROLE MODEL,minimal,0.575,0.679,1,-4.442,1,0.0432,0.547,0,0.34,0.204,169.886,audio_features,28sNP4vXS6EtFr2VKPhCTQ,spotify:track:28sNP4vXS6EtFr2VKPhCTQ,https://api.spotify.com/v1/tracks/28sNP4vXS6EtFr2VKPhCTQ,https://api.spotify.com/v1/audio-analysis/28sNP4vXS6EtFr2VKPhCTQ,163340,3,64.0,2020-09-29T01:07:58Z
25,Claire Rosinkranz,Backyard Boy,0.817,0.634,5,-7.246,1,0.162,0.321,0,0.0735,0.453,138.015,audio_features,0QpOqKz66ZxHNqj2PPHiFF,spotify:track:0QpOqKz66ZxHNqj2PPHiFF,https://api.spotify.com/v1/tracks/0QpOqKz66ZxHNqj2PPHiFF,https://api.spotify.com/v1/audio-analysis/0QpOqKz66ZxHNqj2PPHiFF,129241,4,77.0,2020-09-28T15:04:20Z
26,Conan Gray,Heather,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,audio_features,4xqrdfXkTW4T0RauPLv3WA,spotify:track:4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/tracks/4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/audio-analysis/4xqrdfXkTW4T0RauPLv3WA,198040,3,93.0,2020-09-28T04:52:51Z
27,BabyJake,Cigarettes On Patios,0.752,0.712,4,-5.467,0,0.0474,0.256,0,0.136,0.588,139.999,audio_features,0LJDFZohBgWOMvXQw0cc9W,spotify:track:0LJDFZohBgWOMvXQw0cc9W,https://api.spotify.com/v1/tracks/0LJDFZohBgWOMvXQw0cc9W,https://api.spotify.com/v1/audio-analysis/0LJDFZohBgWOMvXQw0cc9W,207813,4,71.0,2020-09-28T00:28:46Z
28,Tai Verdes,Stuck in the Middle,0.844,0.429,2,-9.308,1,0.0448,0.574,0,0.0949,0.764,119.989,audio_features,2HQPOVBAOU2EBTy1nBGRiW,spotify:track:2HQPOVBAOU2EBTy1nBGRiW,https://api.spotify.com/v1/tracks/2HQPOVBAOU2EBTy1nBGRiW,https://api.spotify.com/v1/audio-analysis/2HQPOVBAOU2EBTy1nBGRiW,196000,4,66.0,2020-09-28T00:28:41Z
